Sleep,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-03-19 11:27PM,2020-03-20 6:29AM,374,47,28,421,66,234,74
2020-03-18 11:29PM,2020-03-19 6:35AM,383,43,28,426,119,187,77
2020-03-18 12:35AM,2020-03-18 7:44AM,359,69,31,428,58,216,85
2020-03-17 12:22AM,2020-03-17 7:48AM,369,77,20,446,85,205,79
2020-03-15 10:24PM,2020-03-16 7:35AM,460,91,40,551,94,258,108
2020-03-14 10:44PM,2020-03-15 9:45AM,562,99,41,661,119,320,123
2020-03-13 10:22PM,2020-03-14 9:44AM,595,87,38,682,189,256,150
2020-03-12 10:52PM,2020-03-13 6:14AM,386,56,29,442,76,269,41
2020-03-11 10:21PM,2020-03-12 8:37AM,543,73,46,616,122,339,82
2020-03-11 4:19PM,2020-03-11 5:24PM,55,6,1,65,N/A,N/A,N/A
2020-03-10 9:31PM,2020-03-11 7:54AM,537,86,40,623,64,371,102
2020-03-09 10:15PM,2020-03-10 7:14AM,446,92,39,538,91,260,95
2020-03-08 11:00PM,2020-03-09 7:12AM,433,58,29,491,120,227,86
2020-03-07 11:26PM,2020-03-08 8:26AM,466,74,39,540,163,185,118
2020-03-06 10:30PM,2020-03-07 10:01AM,597,94,48,691,160,274,163
2020-03-06 3:40PM,2020-03-06 4:40PM,53,7,0,60,N/A,N/A,N/A
2020-03-06 12:48AM,2020-03-06 9:00AM,417,75,32,492,89,202,126
2020-03-04 9:54PM,2020-03-05 8:14AM,544,76,40,620,105,342,97
2020-03-03 10:33PM,2020-03-04 7:09AM,454,62,37,516,94,242,118
2020-03-02 10:26PM,2020-03-03 8:21AM,508,87,41,595,102,269,137
2020-03-01 9:57PM,2020-03-02 8:36AM,505,134,39,639,174,179,152
2020-02-29 9:41PM,2020-03-01 7:48AM,529,77,40,606,120,315,94
2020-02-28 11:23PM,2020-02-29 9:14AM,497,94,38,591,91,300,106
2020-02-27 9:47PM,2020-02-28 7:59AM,521,91,38,612,87,343,91
2020-02-26 10:00PM,2020-02-27 7:34AM,491,83,42,574,108,248,135
2020-02-25 10:17PM,2020-02-26 9:04AM,539,108,30,647,131,306,102
2020-02-24 10:50PM,2020-02-25 6:59AM,423,66,34,489,79,255,89
2020-02-23 10:24PM,2020-02-24 6:27AM,416,66,28,482,108,251,57
2020-02-23 2:28PM,2020-02-23 3:42PM,68,5,0,74,N/A,N/A,N/A
2020-02-22 10:43PM,2020-02-23 8:55AM,523,89,38,612,79,323,121
2020-02-22 12:09AM,2020-02-22 8:39AM,443,67,31,510,65,278,100
2020-02-20 9:51PM,2020-02-21 8:24AM,543,90,41,633,107,302,134
2020-02-19 9:52PM,2020-02-20 7:27AM,505,70,33,575,145,261,99
2020-02-18 10:54PM,2020-02-19 7:17AM,452,51,32,503,94,263,95
2020-02-17 9:50PM,2020-02-18 6:48AM,477,61,27,538,70,321,86
2020-02-16 9:33PM,2020-02-17 6:13AM,452,68,35,520,109,243,100
2020-02-16 10:23AM,2020-02-16 12:09PM,98,7,0,106,N/A,N/A,N/A
2020-02-15 10:33PM,2020-02-16 7:10AM,456,61,34,517,101,274,81
2020-02-14 11:40PM,2020-02-15 6:27AM,373,34,20,407,91,194,88
2020-02-06 11:17PM,2020-02-07 1:30AM,128,4,0,132,N/A,N/A,N/A
2020-02-06 4:38AM,2020-02-06 9:24AM,262,19,0,285,N/A,N/A,N/A
2020-02-05 10:10PM,2020-02-06 1:43AM,196,17,15,213,45,114,37
2020-02-04 11:24PM,2020-02-05 8:14AM,498,32,4,530,N/A,N/A,N/A
2020-02-03 10:21PM,2020-02-04 8:07AM,507,79,37,586,123,315,69
2020-02-02 10:09PM,2020-02-03 7:06AM,482,55,39,537,104,298,80
2020-02-01 11:11PM,2020-02-02 7:06AM,449,26,2,475,N/A,N/A,N/A
2020-01-31 11:57PM,2020-02-01 8:31AM,434,80,35,514,66,279,89
2020-01-30 11:32PM,2020-01-31 7:01AM,417,31,1,449,N/A,N/A,N/A
2020-01-29 10:24PM,2020-01-30 9:08AM,562,81,3,643,N/A,N/A,N/A
2020-01-28 11:20PM,2020-01-29 8:22AM,482,60,35,542,118,258,106
2020-01-27 9:33PM,2020-01-28 6:42AM,508,40,3,548,N/A,N/A,N/A
2020-01-25 10:07PM,2020-01-26 7:01AM,491,35,2,534,N/A,N/A,N/A
2020-01-24 11:14PM,2020-01-25 1:26AM,110,22,1,132,N/A,N/A,N/A
2020-01-23 10:45PM,2020-01-24 6:46AM,456,25,1,481,N/A,N/A,N/A
2020-01-22 10:59PM,2020-01-23 7:23AM,487,17,2,504,N/A,N/A,N/A
2020-01-21 10:32PM,2020-01-22 6:31AM,412,67,31,479,91,299,22
2020-01-20 10:25PM,2020-01-21 7:06AM,502,19,2,521,N/A,N/A,N/A
2020-01-19 9:33PM,2020-01-20 5:59AM,450,56,35,506,117,258,75
2020-01-18 4:23PM,2020-01-18 6:12PM,105,4,0,109,N/A,N/A,N/A
2020-01-17 10:45PM,2020-01-18 8:41AM,511,85,45,596,93,305,113
2020-01-17 12:05AM,2020-01-17 6:59AM,382,31,2,413,N/A,N/A,N/A
2020-01-16 12:01AM,2020-01-16 10:16AM,599,16,1,615,N/A,N/A,N/A
2020-01-14 10:07PM,2020-01-15 8:15AM,527,81,35,608,134,299,94
2020-01-14 12:49AM,2020-01-14 7:38AM,360,49,26,409,93,173,94
2020-01-12 11:42PM,2020-01-13 8:01AM,445,54,31,499,119,246,80
2020-01-09 7:28AM,2020-01-09 9:08AM,90,9,0,99,N/A,N/A,N/A
2020-01-06 9:26PM,2020-01-07 12:18AM,168,3,1,172,N/A,N/A,N/A
2019-12-31 9:10PM,2020-01-01 3:52AM,362,40,24,402,68,212,82
2019-12-30 8:52PM,2019-12-31 7:39AM,542,105,40,647,98,330,114
2019-12-29 8:11PM,2019-12-30 5:51AM,514,66,36,580,125,279,110
2019-12-28 8:26PM,2019-12-29 5:00AM,440,74,31,514,75,288,77
2019-12-28 11:44AM,2019-12-28 1:49PM,120,5,0,125,N/A,N/A,N/A
2019-12-27 9:18PM,2019-12-28 5:29AM,417,73,31,490,72,253,92
2019-12-26 9:14PM,2019-12-27 5:52AM,467,51,28,518,140,214,113
2019-12-25 9:27PM,2019-12-26 4:58AM,373,78,25,451,25,263,85
2019-12-25 2:33PM,2019-12-25 4:06PM,89,4,1,93,N/A,N/A,N/A
2019-12-24 10:40PM,2019-12-25 4:58AM,336,42,25,378,30,228,78
2019-12-23 9:52PM,2019-12-24 8:44AM,539,113,37,652,120,301,118
2019-12-21 10:38PM,2019-12-22 7:18AM,428,92,36,520,97,226,105
2019-12-20 11:22PM,2019-12-21 9:03AM,518,63,34,581,98,317,103
2019-12-19 10:35PM,2019-12-20 7:07AM,437,75,29,512,85,257,95
2019-12-18 9:32PM,2019-12-19 6:59AM,489,78,27,567,109,285,95
2019-12-17 11:09PM,2019-12-18 6:26AM,380,57,31,437,63,252,65
2019-12-16 10:58PM,2019-12-17 10:59AM,636,85,42,721,104,422,110
2019-12-16 12:44AM,2019-12-16 8:58AM,463,30,3,494,N/A,N/A,N/A
2019-12-14 11:35PM,2019-12-15 9:47AM,535,77,37,612,140,297,98
2019-12-13 11:21PM,2019-12-14 7:57AM,444,72,32,516,87,241,116
2019-12-12 10:40PM,2019-12-13 10:02AM,584,98,40,682,126,304,154
2019-12-11 11:08PM,2019-12-12 8:41AM,512,60,46,572,119,264,129
2019-12-09 9:57PM,2019-12-10 8:10AM,580,33,1,613,N/A,N/A,N/A
2019-12-08 10:03PM,2019-12-09 7:32AM,528,41,4,569,N/A,N/A,N/A
2019-12-07 10:27PM,2019-12-08 6:21AM,401,73,30,474,70,230,101
2019-12-06 10:48PM,2019-12-07 7:40AM,468,63,29,531,103,283,82
2019-12-06 12:52AM,2019-12-06 9:10AM,440,58,30,498,106,231,103
2019-12-04 10:37PM,2019-12-05 8:11AM,511,63,39,574,99,329,83
2019-12-03 10:35PM,2019-12-04 6:22AM,403,63,23,466,63,264,76
2019-12-02 10:09PM,2019-12-03 8:46AM,569,68,50,637,136,284,149
2019-12-01 10:05PM,2019-12-02 7:02AM,470,67,37,537,91,291,88
2019-11-30 11:20PM,2019-12-01 8:47AM,506,61,42,567,116,314,76
2019-11-29 8:46PM,2019-11-30 7:30AM,578,66,44,644,150,325,103
2019-11-29 12:24AM,2019-11-29 6:58AM,338,56,28,394,36,240,62
2019-11-26 9:36PM,2019-11-27 6:28AM,467,65,32,532,118,249,100
2019-11-25 9:20PM,2019-11-26 6:44AM,495,69,39,564,99,305,91
2019-11-24 9:41PM,2019-11-25 6:30AM,465,64,47,529,79,294,92
2019-11-23 9:39PM,2019-11-24 7:58AM,511,108,37,619,104,344,63
2019-11-22 9:03PM,2019-11-23 9:54AM,665,106,50,771,129,390,146
2019-11-21 9:18PM,2019-11-22 5:57AM,456,63,32,519,104,219,133
2019-11-20 10:04PM,2019-11-21 7:13AM,470,79,35,549,65,303,102
2019-11-19 9:23PM,2019-11-20 6:12AM,462,67,37,529,106,239,117
2019-11-18 10:10PM,2019-11-19 6:40AM,452,58,1,510,N/A,N/A,N/A
2019-10-30 10:14PM,2019-10-31 6:49AM,450,65,33,515,82,276,92
2019-10-29 9:41PM,2019-10-30 5:53AM,412,80,35,492,69,235,108
