timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2019-10-30T05:53:00Z,75,19,19,37,108,57,0.064989518
2019-10-29T07:10:00Z,85,21,21,43,72,56,0.066523605
2019-10-28T05:58:30Z,82,20,20,42,120,56,0.075279756
2019-10-27T07:37:30Z,80,17,19,44,82,57,0.076534903
2019-10-26T07:39:00Z,81,19,18,44,99,57,0.088888889
2019-10-25T06:41:00Z,80,17,22,41,83,56,0.068867925
2019-10-24T06:50:00Z,87,22,19,46,101,56,0.067567568
2019-10-23T05:58:00Z,81,21,19,41,116,55,0.106280193
2019-10-22T07:01:00Z,83,19,18,46,73,55,0.076363636
2019-10-21T05:58:00Z,76,20,18,38,111,54,0.083427283
2019-10-20T08:39:00Z,79,18,17,44,94,54,0.080548415
2019-10-19T07:53:00Z,82,22,15,45,112,54,0.100900901
2019-10-18T08:01:00Z,81,19,18,44,74,52,0.080825451
2019-10-17T06:09:00Z,78,20,21,37,125,52,0.069640914
2019-10-12T08:00:00Z,83,23,21,39,107,56,0.091674462
2019-10-11T07:59:30Z,83,21,22,40,107,56,0.085470085
2019-10-10T05:56:30Z,79,20,23,36,81,56,0.069167644
2019-10-09T08:03:30Z,73,18,21,34,77,56,0.102189781
2019-10-08T06:12:30Z,77,19,22,36,55,58,0.070907195
2019-10-07T05:56:30Z,80,22,22,36,97,59,0.079726651
2019-10-06T07:14:30Z,80,20,21,39,124,59,0.096187175
2019-10-05T06:32:00Z,85,23,17,45,124,58,0.10034904
2019-10-04T05:59:30Z,75,21,17,37,91,57,0.101713062
2019-10-03T05:58:30Z,85,23,17,45,118,57,0.077260755
2019-10-02T05:58:30Z,79,20,17,42,102,56,0.090107738
2019-10-01T05:58:30Z,79,21,21,37,75,56,0.071276596
2019-09-30T05:58:30Z,83,20,22,41,93,56,0.080597015
2019-09-29T06:07:00Z,78,18,21,39,100,56,0.102262443
2019-09-28T07:55:30Z,79,17,18,44,72,55,0.090277778
2019-09-27T07:03:30Z,83,23,18,42,107,56,0.081232493
2019-09-26T07:04:00Z,90,23,21,46,123,57,0.067944251
2019-09-25T06:23:00Z,81,17,23,41,93,57,0.053412463
2019-09-24T06:09:00Z,75,18,22,35,100,58,0.089617486
2019-09-23T05:54:30Z,86,21,23,42,107,58,0.066100094
2019-09-21T07:00:00Z,82,16,22,44,85,57,0.085637823
